reviewId,text,text_clean,rating,sentiment,text_length,word_count,date
624934031,"No recomiendo ir, platos con bichos.Fuimos a comer de menu del dia, y tras cambiarnos el pescado que había ese día, nos sacaron una lubina con guarnición de INSECTO como se puede apreciar en la foto. Ademas la chulería del camarero cuando le solicite una solución fue tal que perdí el interés en decir nada mas, aunque me gustaría que nadie mas tuviera que pasar por ese mal trago y momento, ya que vende pescado fresco en los carteles de la entrada y evidentemente con bicho muy fresco no será el pescado.",no recomiendo ir platos con bichos fuimos a comer de menu del dia y tras cambiarnos el pescado que había ese día nos sacaron una lubina con guarnición de insecto como se puede apreciar en la foto ademas la chulería del camarero cuando le solicite una solución fue tal que perdí el interés en decir nada mas aunque me gustaría que nadie mas tuviera que pasar por ese mal trago y momento ya que vende pescado fresco en los carteles de la entrada y evidentemente con bicho muy fresco no será el pescado,10,negative,506,92,2018-10-15
781298679,"Estoy de paso en el barrio. Veo un bar normal y corriente con dos mesas ocupadas junto a la barra (lo q ponen ahora para esquivar las prohibiciones) 12 horas aprox del domingo 17 de enero. Entro y esta conversación tenemos:
Yo: buenos días. Me tomaría un Ribera por favor.
Camarero: no, es que aquí es para pedir algo más.
Yo: Muchas gracias. Buenos días.
No voy a opinar ni valorar.",estoy de paso en el barrio veo un bar normal y corriente con dos mesas ocupadas junto a la barra lo q ponen ahora para esquivar las prohibiciones 12 horas aprox del domingo 17 de enero entro y esta conversación tenemos yo buenos días me tomaría un ribera por favor camarero no es que aquí es para pedir algo más yo muchas gracias buenos días no voy a opinar ni valorar,10,negative,383,71,2021-01-17
434236348,"Su ubicación es excelente y a nada que se lo propusieran podría ser un buen restaurante. Demasiada carta, demasiada variedad y ya se sabe quien mucho abarca poco aprieta.
Los desayunos son simples y caros y el café mediocre. Por cierto si se piden unas tostadas y lo primero que te traen es el café y al cabo de 4 o 5 minutos las tostadas, ni que decir tiene que hay que echarle valor .....
Mejorable el servicio y la estrechez entre mesas.",su ubicación es excelente y a nada que se lo propusieran podría ser un buen restaurante demasiada carta demasiada variedad y ya se sabe quien mucho abarca poco aprieta los desayunos son simples y caros y el café mediocre por cierto si se piden unas tostadas y lo primero que te traen es el café y al cabo de 4 o 5 minutos las tostadas ni que decir tiene que hay que echarle valor mejorable el servicio y la estrechez entre mesas,10,negative,440,83,2016-11-03
476144935,"Nos toco un camarero bastante lento,no tenían varios platos de la carta y el detalle del final no lo esperaba. En otras ocasiones nos han servido un chupito de Limoncello al final; hoy hemos visto que hacían lo mismo con todas las mesas que estaban a nuestro alrededor salvo con la mía, imagino que ha sido por el camarero en cuestion, que pena los detalles están para cuidarlos, se tarda mucho en hacer un cliente y muy poco en perderlo, y se de lo que hablo.",nos toco un camarero bastante lento no tenían varios platos de la carta y el detalle del final no lo esperaba en otras ocasiones nos han servido un chupito de limoncello al final hoy hemos visto que hacían lo mismo con todas las mesas que estaban a nuestro alrededor salvo con la mía imagino que ha sido por el camarero en cuestion que pena los detalles están para cuidarlos se tarda mucho en hacer un cliente y muy poco en perderlo y se de lo que hablo,20,negative,460,86,2017-04-16
549994669,"Cobran 1,5€ extra por persona en concepto de ""cubierto"". Además, el precio de las bebidas no está incluido en la carta. Ambas cosas son ilegales según el Portal del Consumidor de la Comunidad de Madrid (ver imagen adjunta). La comida y el trato normal.",cobran 1 5€ extra por persona en concepto de cubierto además el precio de las bebidas no está incluido en la carta ambas cosas son ilegales según el portal del consumidor de la comunidad de madrid ver imagen adjunta la comida y el trato normal,10,negative,252,44,2017-12-29
749025965,Sitio pasado de moda. Necesita una reforma urgente. La carta sigue igual que cuando abrió. La comida no está mal. Entras allí y parece que estás en la serie de cuéntame todo rodeado de madera y recuerdos de otra época. La carta muy escasa y aburrida.,sitio pasado de moda necesita una reforma urgente la carta sigue igual que cuando abrió la comida no está mal entras allí y parece que estás en la serie de cuéntame todo rodeado de madera y recuerdos de otra época la carta muy escasa y aburrida,10,negative,250,46,2020-03-04
150123023,"Hemos ido a tomar el aperitivo. Hemos probado la tortilla de patatas, que no estaba muy allá, y el pincho de champiñones, que estaba bastante malo, aunque reconozco que me lo he terminado entero.

Y una clavada bastante considerable.

Por tanto, suspenso en dos cosas muy, muy sencillas de preparar, por lo que dudo mucho de la que dice que tiene la mejor fabada de Madrid, un plato más complicado de hacer bien (yo no pienso arriesgar mi dinero pidiéndola). Y aquel que titula a su opinion ""tapas exquisitas"" o bien no tiene ni idea, o bien es amigo de los dueños.

No obstante, es un sitio al que podría volver si estoy en un apuro por ahí cerca por una razón: está muy buen puesto y hay muy buen ambiente.",hemos ido a tomar el aperitivo hemos probado la tortilla de patatas que no estaba muy allá y el pincho de champiñones que estaba bastante malo aunque reconozco que me lo he terminado entero y una clavada bastante considerable por tanto suspenso en dos cosas muy muy sencillas de preparar por lo que dudo mucho de la que dice que tiene la mejor fabada de madrid un plato más complicado de hacer bien yo no pienso arriesgar mi dinero pidiéndola y aquel que titula a su opinion tapas exquisitas o bien no tiene ni idea o bien es amigo de los dueños no obstante es un sitio al que podría volver si estoy en un apuro por ahí cerca por una razón está muy buen puesto y hay muy buen ambiente,20,negative,708,131,2013-01-20
443027100,"Hemos estado ya varias veces en el hotel de la misma calle Preciados, y en este restaurante se nos ocurrió entrar a cenar.
Antes de sentarnos ya te ponen la canasta de panecillos (que no has pedido), luego lo que ya has pedido,una ensalada ""de María"" donde encuentras que es la bolsa del súper en el plato con porciones generosas de queso (podría mejorarse su calidad), la ensalada no es proporcional al precio, ya no es novedad para justificar su precio, poco elaborada.
Otro de los platos -huevos estrellados- como siempre, demasiado hechos, hay que enseñar lo que es el huevo frito, no cocido como duro en una sarten.
Lo más violento y lo que califico de deshonesto, vergonzoso, etc. es tener que comentar que la cuenta debe ser rectificada por cobrar 2 servicios de pan no pedidos (recuerdo que al inicio digo que nos sirvieron antes de estar sentados) y cuando digo que solamente han de cobrar 1 servicio porque es el que se ha comido con los h. estrellados, alegan que ellos lo han servido en la mesa.
Esto es un despropósito, cómo pueden servir directamente pan antes de nada pareciendo que sea gentileza (que ya sabemos que no) pero que al decir que rectifiquen la cuenta por consumir solo 1 ración digan que ellos ponen todos los precios en la carta, ya! pero es que no se ha consumido!!!
Vergüenza servir en mesa lo que uno no pide y no pregunatr antes , es MUY DESAGRADABLE, por cierto, resto de platos sin mencionarlos, caro calidad-precio.
Hay muchos en la misma calle, mejores.",hemos estado ya varias veces en el hotel de la misma calle preciados y en este restaurante se nos ocurrió entrar a cenar antes de sentarnos ya te ponen la canasta de panecillos que no has pedido luego lo que ya has pedido una ensalada de maría donde encuentras que es la bolsa del súper en el plato con porciones generosas de queso podría mejorarse su calidad la ensalada no es proporcional al precio ya no es novedad para justificar su precio poco elaborada otro de los platos huevos estrellados como siempre demasiado hechos hay que enseñar lo que es el huevo frito no cocido como duro en una sarten lo más violento y lo que califico de deshonesto vergonzoso etc es tener que comentar que la cuenta debe ser rectificada por cobrar 2 servicios de pan no pedidos recuerdo que al inicio digo que nos sirvieron antes de estar sentados y cuando digo que solamente han de cobrar 1 servicio porque es el que se ha comido con los h estrellados alegan que ellos lo han servido en la mesa esto es un despropósito cómo pueden servir directamente pan antes de nada pareciendo que sea gentileza que ya sabemos que no pero que al decir que rectifiquen la cuenta por consumir solo 1 ración digan que ellos ponen todos los precios en la carta ya pero es que no se ha consumido vergüenza servir en mesa lo que uno no pide y no pregunatr antes es muy desagradable por cierto resto de platos sin mencionarlos caro calidad precio hay muchos en la misma calle mejores,20,negative,1491,265,2016-12-09
809640158,"Anoche viernes día 11 de septiembre,estuvimos allí unos amigos y yo,somos habituales,nos gusta mucho FLORIDA RETIRO Y FLORIDA MIJAS,pero no sabía que tenía una RRPP, TAN NEFASTA Y MAL EDUCADA.ESTA SRA SE LLAMA BEA Y DA UNA HORRIPILANTE IMAGÉN AL LOCAL
Desde luego mientras esta señora continúe allí no volveremos,espero que la empresa recapacite y lo tenga en cuenta,lo más leve que nos dijo es que ""ESTÁBAMOS MUY MAL"" haciendo el gesto de locura en su cabeza.....UN HORROR!!",anoche viernes día 11 de septiembre estuvimos allí unos amigos y yo somos habituales nos gusta mucho florida retiro y florida mijas pero no sabía que tenía una rrpp tan nefasta y mal educada esta sra se llama bea y da una horripilante imagén al local desde luego mientras esta señora continúe allí no volveremos espero que la empresa recapacite y lo tenga en cuenta lo más leve que nos dijo es que estábamos muy mal haciendo el gesto de locura en su cabeza un horror,10,negative,475,78,2021-09-12
725895020,"Nada recomendable. Tres veces he venido por cercanía al trabajo y en todas he esperado demasiado tiempo entre plato y plato para un menú del día, que se supone ya tienen preparado de antemano. Da igual si el sitio está vacío. Además, el trato de una de las camareras da hasta miedo. No vuelvo más.",nada recomendable tres veces he venido por cercanía al trabajo y en todas he esperado demasiado tiempo entre plato y plato para un menú del día que se supone ya tienen preparado de antemano da igual si el sitio está vacío además el trato de una de las camareras da hasta miedo no vuelvo más,10,negative,297,55,2019-11-12
